  18 | 23.1667 |  59.0833
  18 | 23.1667 |       63
  18 | 23.5833 |       63
  18 | 23.5833 |       66
  18 | 0.33333 |       66
  18 | 0.33333 |       77
  18 | 3.41667 |       77
  18 | 3.41667 |       68
  18 |     3.1 |       68
  18 |     3.1 |       57
  18 | 2.43333 |       57
  18 | 2.43333 |     58.5
  18 | 1.90833 |     58.5
  18 | 1.90833 |     57.5
  18 |     1.7 |     57.5
  18 |     1.7 |       54
  18 | 1.36667 |       54
  18 | 1.36667 |       50
  18 | 1.11667 |       50
  18 | 1.11667 |       48
  18 | 0.86667 |       48
  18 | 0.86667 |       46
  18 | 0.16667 |       46
  18 | 0.16667 |       48
  18 | 23.5833 |       48
  18 | 23.5833 |       50
  18 | 23.3333 |       50
  18 | 23.3333 |     52.5
  19 |      11 |      -35
  19 |   12.25 |      -35
  19 |   12.25 |      -33
  19 | 12.5833 |      -33
  19 | 12.5833 |    -29.5
  19 | 14.9167 |    -29.5
  19 | 14.9167 |      -42
  19 | 14.1667 |      -42
  19 | 14.1667 |      -55
  19 | 14.5333 |      -55
  19 | 14.5333 |      -64
  19 |    13.5 |      -64
  19 | 12.8333 |      -64
  19 | 12.8333 |      -55
  19 | 11.8333 |      -55
  19 | 11.8333 |      -64
  19 |   11.25 |      -64
  19 |   11.25 |    -56.5
  19 |      11 |    -56.5
  19 |      11 |   -39.75
  20 |      20 |     59.5
  20 |      20 |     61.5
  20 | 20.4167 |     61.5
  20 | 20.4167 |       67
  20 | 20.6667 |       67
  20 | 20.6667 |       75
  20 | 20.1667 |       75
  20 | 20.1667 |       80
  20 |      21 |       80
  20 |      21 |       86
  20 |      21 |  86.1667
  20 |      23 |  86.1667
  20 |      23 |       88
  20 |       8 |       88
  20 |       8 |     86.5
  20 |       8 |       85
  20 |       5 |       85
  20 |       5 |       80
  20 | 3.50833 |       80
  20 | 3.50833 |       77
  20 | 3.41667 |       77
  20 | 0.33333 |       77
  20 | 0.33333 |       66
  20 | 23.5833 |       66
